C Major, C, Dm, Em, F, G, Am, Bdim
F Locrian, Fm, Gb, Ab, Bbm, Cb, Db, Eb
Gb Locrian, Gbm, G, A, Bm, Dbm, D, E
G Locrian, Gm, Ab, Bb, Cm, Db, Eb, F
Ab Locrian, Abm, A, B, Dbm, Ebm, E, Gb
A Locrian, Am, Bb, C, Dm, Eb, F, G
Bb Locrian, Bbm, Cb, Db, Ebm, Fm, Gb, Ab
B Locrian, Bm, C, D, Em, F, G, A

C Harmonic Minor, Cm, Ddim, Eb, Fm, G, Ab, Bdim
Db Harmonic Minor, Dbm, Ebdim, E, Gbm, Ab, Cdim
D Harmonic Minor, Dm, Edim, F, Gm, A, Bb, C#dim
Eb Harmonic Minor, Ebm, Fdim, Gb, Abm, Bb, C, Ddim
E Harmonic Minor, Em, F#dim, G, Am, B, C, D#dim
F Harmonic Minor, Fm, Gdim, Ab, Bbm, C, Db, Edim
Gb Harmonic Minor, Gbm, Abdim, A, Bm, Db, Edim
G Harmonic Minor, Gm, Adim, Bb, Cm, D, Eb, F#dim
Ab Harmonic Minor, Abm, Bbdim, B, Dbm, Eb, Gb, Gdim
A Harmonic Minor, Am, Bdim, C, Dm, E, F, G#dim
Bb Harmonic Minor, Bbm, Cdim, Db, Ebm, F, Gb, Adim
B Harmonic Minor, Bm, C#dim, D, Em, F#, G, A#dim

C Melodic Minor, Cm, Dm, Eb, F, G, A, Bdim
Db Melodic Minor, Dbm, Ebm, E, Gb, Ab, Bb, Cdim
D Melodic Minor, Dm, Em, F, G, A, B, C#dim
Eb Melodic Minor, Ebm, Fm, Gb, Ab, Bb, C, Ddim
E Melodic Minor, Em, F#m, G, A, B, C#, D#dim
F Melodic Minor, Fm, Gm, Ab, Bb, C, D, Edim
Gb Melodic Minor, Gbm, Abm, A, B, Db, Eb, Fdim
G Melodic Minor, Gm, Am, Bb, C, D, E, F#dim
Ab Melodic Minor, Abm, Bbm, B, Db, Eb, F, Gdim
A Melodic Minor, Am, Bm, C, D, E, F#, G#dim
Bb Melodic Minor, Bbm, Cm, Db, Eb, F, G, Adim
B Melodic Minor, Bm, C#m, D, E, F#, G#, A#dim
